"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-10,806
0,32;-10,806
0,32;-10,808
0,32;-10,804
0,32;-10,808
0,32;-10,809
0,32;-10,811
0,32;-10,802
0,32;-10,806
0,32;-10,811
0,32;-10,799
0,32;-10,808
0,32;-10,804
0,32;-10,804
0,32;-10,806
0,32;-10,809
0,32;-10,802
0,32;-10,809
0,32;-10,806
0,32;-10,806
0,32;-10,813
0,32;-10,809
0,32;-10,806
0,32;-10,811
0,32;-10,811
0,32;-10,806
0,32;-10,809
0,32;-10,811
0,32;-10,806
0,32;-10,808
0,32;-10,804
0,32;-10,806
0,32;-10,809
0,32;-10,797
0,32;-10,806
0,32;-10,808
0,32;-10,801
0,32;-10,808
0,32;-10,808
0,32;-10,804
0,32;-10,815
0,32;-10,808
0,32;-10,808
0,32;-10,808
0,32;-10,804
0,32;-10,808
0,32;-10,806
0,32;-10,804
0,32;-10,809
0,32;-10,802
0,32;-10,808
0,32;-10,801
0,32;-10,802
0,32;-10,804
0,32;-10,804
0,32;-10,804
0,32;-10,802
0,32;-10,801
0,32;-10,802
0,32;-10,804
0,32;-10,801
0,32;-10,808
0,32;-10,809
0,32;-10,806
0,32;-10,802
0,32;-10,802
0,32;-10,806
0,32;-10,806
0,32;-10,799
0,32;-10,802
0,32;-10,806
0,32;-10,799
0,32;-10,804
0,32;-10,799
0,32;-10,795
0,32;-10,804
0,32;-10,802
0,32;-10,801
0,32;-10,804
0,32;-10,799
0,32;-10,802
0,32;-10,806
0,32;-10,802
0,32;-10,804
0,32;-10,806
0,32;-10,804
0,32;-10,808
0,32;-10,806
0,32;-10,802
0,32;-10,806
0,32;-10,802
0,32;-10,806
0,32;-10,802
0,32;-10,802
0,32;-10,808
0,32;-10,802
0,32;-10,808
0,32;-10,802
0,32;-10,801
0,32;-10,804
0,32;-10,804
0,32;-10,802
0,32;-10,802
0,32;-10,797
0,32;-10,801
0,32;-10,808
0,32;-10,801
0,32;-10,804
0,32;-10,806
0,32;-10,801
0,32;-10,806
0,32;-10,809
0,32;-10,802
0,32;-10,802
0,32;-10,799
0,32;-10,802
0,32;-10,802
0,32;-10,804
0,32;-10,804
0,32;-10,804
0,32;-10,801
0,32;-10,801
0,32;-10,797
0,32;-10,799
0,32;-10,801
0,32;-10,795
0,32;-10,802
0,32;-10,799
0,32;-10,799
0,32;-10,799
0,32;-10,804
0,32;-10,804
0,32;-10,801
0,32;-10,801
0,32;-10,802
0,32;-10,799
0,32;-10,799
0,32;-10,802
0,32;-10,792
0,32;-10,804
0,32;-10,801
0,32;-10,801
0,32;-10,802
0,32;-10,799
0,32;-10,804
0,32;-10,804
0,32;-10,806
0,32;-10,799
0,32;-10,801
0,32;-10,801
0,32;-10,801
0,32;-10,797
0,32;-10,801
0,32;-10,802
0,32;-10,801
0,32;-10,801
0,32;-10,799
0,32;-10,799
0,32;-10,795
0,32;-10,797
0,32;-10,801
0,32;-10,799
0,32;-10,795
0,32;-10,801
0,32;-10,799
0,32;-10,795
0,32;-10,799
0,32;-10,797
0,32;-10,799
0,32;-10,806
0,32;-10,801
0,32;-10,799
0,32;-10,808
0,32;-10,797
0,32;-10,799
0,32;-10,801
0,32;-10,799
0,32;-10,797
0,32;-10,795
0,32;-10,797
0,32;-10,797
0,32;-10,799
0,32;-10,799
0,32;-10,799
0,32;-10,797
0,32;-10,797
0,32;-10,797
0,32;-10,788
0,32;-10,797
0,32;-10,797
0,32;-10,797
0,32;-10,801
0,32;-10,799
0,32;-10,797
0,32;-10,802
0,32;-10,799
0,32;-10,799
0,32;-10,797
0,32;-10,793
0,32;-10,795
0,32;-10,801
0,32;-10,797
0,32;-10,801
0,32;-10,799
0,32;-10,795
0,32;-10,797
0,32;-10,790
0,32;-10,790
0,32;-10,802
0,32;-10,822
0,32;-10,767
0,32;-10,779
0,32;-10,827
0,32;-10,781
0,32;-10,783
0,32;-10,824
0,32;-10,783
0,32;-10,806
0,32;-10,811
0,32;-10,770
0,32;-10,817
0,32;-10,809
0,32;-10,777
0,32;-10,811
0,32;-10,801
0,32;-10,788
0,32;-10,811
0,32;-10,802
0,32;-10,793
0,32;-10,808
0,32;-10,801
0,32;-10,793
0,32;-10,802
0,32;-10,793
0,32;-10,792
0,32;-10,802
0,32;-10,790
0,32;-10,792
0,32;-10,799
0,32;-10,795
0,32;-10,797
0,32;-10,797
0,32;-10,799
0,32;-10,804
0,32;-10,797
0,32;-10,795
0,32;-10,804
0,32;-10,797
0,32;-10,801
0,32;-10,797
0,32;-10,797
0,32;-10,797
0,32;-10,799
0,32;-10,809
0,32;-10,795
0,32;-10,793
0,32;-10,806
0,32;-10,801
0,32;-10,786
0,32;-10,808
